gel,lane,oxygen,treatment,time,blot,hif2a,myc
a,1,21%,DMSO,72,134625414,44868222,48113919
a,2,21%,BAY,72,176941457,169218150,39695292
a,3,0.5%,DMSO,72,128046193,1215324,75951918
a,4,0.5%,BAY,72,128723881,71612790,84504168
b,5,21%,DMSO,72,132195349,1627872,223540317
b,6,21%,BAY,72,195632294,59915436,93490173
b,7,0.5%,DMSO,72,106367283,971388,116049213
b,8,0.5%,BAY,72,139715741,36160750,111006882
c,1,21%,DMSO,72,253053504,51076292,104435904
c,2,21%,BAY,72,198710208,162621028,24724224
c,3,0.5%,DMSO,72,200605248,3437137,126292032
c,4,0.5%,BAY,72,175552896,109284127,131992128
d,5,21%,DMSO,72,219516864,41814415,19129344
d,6,21%,BAY,72,213500160,73292136,25399488
d,7,0.5%,DMSO,72,216997440,15308567,271064640
d,8,0.5%,BAY,72,164845632,197826351,229394496
e,1,21%,DMSO,72,340119091,,1153313
e,2,21%,BAY,72,323302924,,1125824
e,3,0.5%,DMSO,72,275877666,,689185
e,4,0.5%,BAY,72,278995572,,1366414
f,5,21%,DMSO,72,258402659,,2456713
f,6,21%,BAY,72,233871729,,1456721
f,7,0.5%,DMSO,72,205384682,,2327353
f,8,0.5%,BAY,72,257123713,,2517130