cell_type,date,pre,post,cell_number
lf,2017-10-06,1.042,1.043,3000000
lf,2017-10-06,1.03,1.0314,3000000
lf,2017-10-06,1.039,1.0406,3000000
lf,2017-10-29,1.0313,1.033,3000000
lf,2017-10-29,1.0357,1.0371,3000000
lf,2017-10-29,1.0421,1.0433,3000000
lf,2017-11-02,1.0408,1.0423,3000000
lf,2017-11-02,1.0288,1.0303,3000000
lf,2017-11-02,1.0397,1.0417,3000000
pasmc,2020-06-25,1.0425,1.0438,3000000
pasmc,2020-06-25,1.0383,1.0394,3000000
pasmc,2020-06-25,1.0493,1.0504,3000000
pasmc,2020-06-25,1.0462,1.0475,3000000
pasmc,2020-06-30,1.0423,1.0436,3000000
pasmc,2020-06-30,1.0516,1.0527,3000000
pasmc,2020-06-30,1.0452,1.0464,3000000
pasmc,2020-07-05,1.0265,1.0278,3000000
pasmc,2020-07-05,1.0338,1.0348,3000000
pasmc,2020-07-05,1.0374,1.0386,3000000
pasmc,2020-07-10,1.0389,1.0407,3000000
pasmc,2020-07-10,1.0423,1.0443,3000000
pasmc,2020-07-10,1.0314,1.0333,3000000