id,type,oxygen,virus,treatment,time,well
1,cells,21%,none,none,0,x
2,cells,21%,none,none,0,y
3,cells,21%,none,none,0,z
4,cells,21%,none,none,24,x
5,cells,21%,none,none,24,y
6,cells,21%,none,none,24,z
7,cells,21%,none,none,48,x
8,cells,21%,none,none,48,y
9,cells,21%,none,none,48,z
10,cells,21%,none,none,72,x
11,cells,21%,none,none,72,y
12,cells,21%,none,none,72,z
13,cells,0.2%,none,none,0,x
14,cells,0.2%,none,none,0,y
15,cells,0.2%,none,none,0,z
16,cells,0.2%,none,none,24,x
17,cells,0.2%,none,none,24,y
18,cells,0.2%,none,none,24,z
19,cells,0.2%,none,none,48,x
20,cells,0.2%,none,none,48,y
21,cells,0.2%,none,none,48,z
22,cells,0.2%,none,none,72,x
23,cells,0.2%,none,none,72,y
24,cells,0.2%,none,none,72,z