plate,date,oxygen,treatment,time,gene,replicate,ct
a,2020-06-06,21%,None,0,ACTIN,a,25.418938
a,2020-06-06,21%,None,12,ACTIN,a,17.608158
a,2020-06-06,21%,None,24,ACTIN,a,17.69407
a,2020-06-06,21%,None,36,ACTIN,a,17.637686
a,2020-06-06,21%,None,48,ACTIN,a,18.996113
a,2020-06-06,0.5%,None,0,ACTIN,a,18.307438
a,2020-06-06,0.5%,None,12,ACTIN,a,18.263119
a,2020-06-06,0.5%,None,24,ACTIN,a,18.434832
a,2020-06-06,0.5%,None,36,ACTIN,a,17.901634
a,2020-06-06,0.5%,None,48,ACTIN,a,18.50545
a,2020-06-06,21%,None,0,GLUT1,a,33.583084
a,2020-06-06,21%,None,12,GLUT1,a,25.24289
a,2020-06-06,21%,None,24,GLUT1,a,25.241766
a,2020-06-06,21%,None,36,GLUT1,a,25.168966
a,2020-06-06,21%,None,48,GLUT1,a,26.396929
a,2020-06-06,0.5%,None,0,GLUT1,a,23.50956
a,2020-06-06,0.5%,None,12,GLUT1,a,23.777754
a,2020-06-06,0.5%,None,24,GLUT1,a,24.179237
a,2020-06-06,0.5%,None,36,GLUT1,a,23.339237
a,2020-06-06,0.5%,None,48,GLUT1,a,24.267162
a,2020-06-06,21%,None,0,LDHA,a,28.23204
a,2020-06-06,21%,None,12,LDHA,a,21.445692
a,2020-06-06,21%,None,24,LDHA,a,21.040634
a,2020-06-06,21%,None,36,LDHA,a,20.978945
a,2020-06-06,21%,None,48,LDHA,a,21.891613
a,2020-06-06,0.5%,None,0,LDHA,a,20.615883
a,2020-06-06,0.5%,None,12,LDHA,a,20.780993
a,2020-06-06,0.5%,None,24,LDHA,a,20.607843
a,2020-06-06,0.5%,None,36,LDHA,a,19.688488
a,2020-06-06,0.5%,None,48,LDHA,a,20.30156
a,2020-06-11,21%,None,0,ACTIN,a,18.151203
a,2020-06-11,21%,None,12,ACTIN,a,18.904951
a,2020-06-11,21%,None,24,ACTIN,a,19.455225
a,2020-06-11,21%,None,36,ACTIN,a,20.783037
a,2020-06-11,21%,None,48,ACTIN,a,18.378996
a,2020-06-11,0.5%,None,0,ACTIN,a,19.187511
a,2020-06-11,0.5%,None,12,ACTIN,a,19.547276
a,2020-06-11,0.5%,None,24,ACTIN,a,19.80438
a,2020-06-11,0.5%,None,36,ACTIN,a,19.076595
a,2020-06-11,0.5%,None,48,ACTIN,a,19.579357
a,2020-06-11,21%,None,0,GLUT1,a,25.83838
a,2020-06-11,21%,None,12,GLUT1,a,26.63684
a,2020-06-11,21%,None,24,GLUT1,a,27.240181
a,2020-06-11,21%,None,36,GLUT1,a,28.718136
a,2020-06-11,21%,None,48,GLUT1,a,25.836487
a,2020-06-11,0.5%,None,0,GLUT1,a,24.779982
a,2020-06-11,0.5%,None,12,GLUT1,a,25.243303
a,2020-06-11,0.5%,None,24,GLUT1,a,25.992857
a,2020-06-11,0.5%,None,36,GLUT1,a,24.795208
a,2020-06-11,0.5%,None,48,GLUT1,a,25.187489
a,2020-06-11,21%,None,0,LDHA,a,21.473097
a,2020-06-11,21%,None,12,LDHA,a,22.34695
a,2020-06-11,21%,None,24,LDHA,a,22.321947
a,2020-06-11,21%,None,36,LDHA,a,23.427858
a,2020-06-11,21%,None,48,LDHA,a,21.12372
a,2020-06-11,0.5%,None,0,LDHA,a,21.699478
a,2020-06-11,0.5%,None,12,LDHA,a,21.6852
a,2020-06-11,0.5%,None,24,LDHA,a,21.818922
a,2020-06-11,0.5%,None,36,LDHA,a,20.821136
a,2020-06-11,0.5%,None,48,LDHA,a,20.86569
a,2020-06-16,21%,None,0,ACTIN,a,22.276466
a,2020-06-16,21%,None,12,ACTIN,a,20.209822
a,2020-06-16,21%,None,24,ACTIN,a,21.970818
a,2020-06-16,21%,None,36,ACTIN,a,20.883417
a,2020-06-16,21%,None,48,ACTIN,a,20.45227
a,2020-06-16,0.5%,None,0,ACTIN,a,23.319447
a,2020-06-16,0.5%,None,12,ACTIN,a,20.129187
a,2020-06-16,0.5%,None,24,ACTIN,a,23.752548
a,2020-06-16,0.5%,None,36,ACTIN,a,20.54857
a,2020-06-16,21%,None,0,GLUT1,a,29.643309
a,2020-06-16,21%,None,12,GLUT1,a,28.271235
a,2020-06-16,21%,None,24,GLUT1,a,30.234308
a,2020-06-16,21%,None,36,GLUT1,a,28.751133
a,2020-06-16,21%,None,48,GLUT1,a,28.745869
a,2020-06-16,0.5%,None,0,GLUT1,a,29.850113
a,2020-06-16,0.5%,None,12,GLUT1,a,26.462957
a,2020-06-16,0.5%,None,24,GLUT1,a,30.635391
a,2020-06-16,0.5%,None,36,GLUT1,a,26.378508
a,2020-06-16,21%,None,0,LDHA,a,24.673414
a,2020-06-16,21%,None,12,LDHA,a,23.874794
a,2020-06-16,21%,None,24,LDHA,a,24.531826
a,2020-06-16,21%,None,36,LDHA,a,23.463774
a,2020-06-16,21%,None,48,LDHA,a,23.184671
a,2020-06-16,0.5%,None,0,LDHA,a,25.838575
a,2020-06-16,0.5%,None,12,LDHA,a,22.763254
a,2020-06-16,0.5%,None,24,LDHA,a,26.351234
a,2020-06-16,0.5%,None,36,LDHA,a,21.984676